22.249.70.116 - farez_vadsaria [17/Dec/2025:17:49:14 -0700] "POST /login/login?user=farez_vadsaria&password=8crdgclOWTwuQp&status=unauthorized HTTP/1.1" 401 550 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
178.225.244.119 - - [17/Dec/2025:17:49:19 -0700] "POST /front-end HTTP/2.0" 502 43275 "http://www.directfrictionless.com/viral/cross-media/deliver/customized" "Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/535.42.4 (KHTML, like Gecko) Version/6.2 Safari/535.42.4"
106.242.81.73 - marriam_shah [17/Dec/2025:17:49:23 -0700] "POST /login/login?user=marriam_shah&password=1dYdPrwCU7HRO&status=unauthorized HTTP/1.1" 401 6415 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
209.235.243.241 - shields2750 [17/Dec/2025:17:49:19 -0700] "PUT /magnetic/generate/transparent HTTP/1.0" 203 27727 "http://www.globaliterate.net/mesh/integrated/vortals" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5331 (KHTML, like Gecko) Chrome/38.0.849.0 Mobile Safari/5331"
8.150.238.40 - alnoor_ladak [17/Dec/2025:17:49:23 -0700] "POST /login/login?user=alnoor_ladak&password=zduTqjgAl&status=unauthorized HTTP/1.1" 401 17456 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
223.199.254.210 - langworth1535 [17/Dec/2025:17:49:19 -0700] "GET /evolve/productize/killer HTTP/2.0" 205 26201 "http://www.centralorchestrate.info/vortals/interactive/leading-edge/productize" "Opera/9.93 (X11; Linux x86_64; en-US) Presto/2.13.186 Version/11.00"
52.230.20.127 - cassin3281 [17/Dec/2025:17:49:19 -0700] "PUT /b2b/interfaces HTTP/1.1" 405 8611 "https://www.internalviral.biz/cross-media/morph" "Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/533.29.3 (KHTML, like Gecko) Version/5.2 Safari/533.29.3"
28.26.96.45 - blick3264 [17/Dec/2025:17:49:19 -0700] "HEAD /exploit/redefine/distributed HTTP/2.0" 503 41051 "https://www.forwardengage.info/interfaces" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/5322 (KHTML, like Gecko) Chrome/40.0.826.0 Mobile Safari/5322"
87.96.57.251 - hahn6508 [17/Dec/2025:17:49:19 -0700] "DELETE /leading-edge/morph/utilize HTTP/1.0" 405 23036 "http://www.dynamicsynthesize.org/empower/distributed/portals/drive" "Mozilla/5.0 (X11; Linux i686; rv:8.0) Gecko/1907-16-12 Firefox/37.0"
125.197.35.66 - ali_dharani [17/Dec/2025:17:49:24 -0700] "POST /login/login?user=ali_dharani&password=ibS4I9bR&status=unauthorized HTTP/1.1" 401 15733 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
216.131.244.146 - murad [17/Dec/2025:17:49:28 -0700] "POST /login/login?user=murad&password=6zz2SfpcvNGte&status=unauthorized HTTP/1.1" 401 14716 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
159.36.21.248 - - [17/Dec/2025:17:49:19 -0700] "POST /evolve/frictionless/grow/seize HTTP/1.1" 203 32402 "http://www.regionaldeliverables.net/incentivize/granular" "Mozilla/5.0 (Windows NT 5.0) AppleWebKit/5361 (KHTML, like Gecko) Chrome/36.0.899.0 Mobile Safari/5361"
75.184.217.98 - mahek_ramzan [17/Dec/2025:17:49:24 -0700] "POST /login/login?user=mahek_ramzan&password=LSk1IKKY3MTsE&status=unauthorized HTTP/1.1" 401 15223 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
157.169.91.170 - marvin4886 [17/Dec/2025:17:49:19 -0700] "DELETE /generate/extend HTTP/2.0" 503 36806 "https://www.globalplatforms.net/strategize" "Mozilla/5.0 (Windows CE) AppleWebKit/5341 (KHTML, like Gecko) Chrome/36.0.820.0 Mobile Safari/5341"
174.136.176.157 - jamil_jaffer [17/Dec/2025:17:49:20 -0700] "POST /login/login?user=jamil_jaffer&password=9kSEt4r5CRhGP&status=unauthorized HTTP/1.1" 401 17260 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
71.138.130.215 - - [17/Dec/2025:17:49:19 -0700] "PATCH /convergence/wireless HTTP/1.0" 502 76009 "http://www.productiterate.org/bricks-and-clicks/deliverables/engage/grow" "Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_7 rv:6.0; en-US) AppleWebKit/531.37.3 (KHTML, like Gecko) Version/6.0 Safari/531.37.3"
156.106.149.45 - emmerich7615 [17/Dec/2025:17:49:19 -0700] "PATCH /reintermediate HTTP/1.1" 405 98487 "https://www.futuree-business.biz/mission-critical" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/5352 (KHTML, like Gecko) Chrome/38.0.825.0 Mobile Safari/5352"
9.26.100.210 - - [17/Dec/2025:17:49:19 -0700] "PUT /cultivate HTTP/1.0" 204 92555 "http://www.chiefholistic.info/plug-and-play/incubate" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_5 rv:6.0; en-US) AppleWebKit/533.45.2 (KHTML, like Gecko) Version/6.2 Safari/533.45.2"
32.9.212.229 - dach4466 [17/Dec/2025:17:49:19 -0700] "DELETE /sticky HTTP/1.1" 100 11765 "https://www.futureengage.io/transparent/iterate" "Mozilla/5.0 (iPad; CPU OS 7_2_1 like Mac OS X; en-US) AppleWebKit/535.35.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6535.35.6"
4.231.49.179 - - [17/Dec/2025:17:49:19 -0700] "GET /next-generation HTTP/1.1" 400 91241 "https://www.dynamiccustomized.com/schemas/morph/monetize" "Mozilla/5.0 (X11; Linux i686) AppleWebKit/5311 (KHTML, like Gecko) Chrome/37.0.897.0 Mobile Safari/5311"
182.153.91.86 - - [17/Dec/2025:17:49:19 -0700] "DELETE /enhance/dynamic/users HTTP/1.1" 301 51880 "https://www.internalcommunities.com/infrastructures/schemas/b2b" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5340 (KHTML, like Gecko) Chrome/37.0.851.0 Mobile Safari/5340"
247.31.180.77 - - [17/Dec/2025:17:49:19 -0700] "GET /viral HTTP/1.0" 203 77809 "http://www.districtrepurpose.io/reintermediate/supply-chains/vertical" "Mozilla/5.0 (Windows NT 5.2; en-US; rv:1.9.1.20) Gecko/1969-22-07 Firefox/35.0"
192.15.53.161 - asad [17/Dec/2025:17:49:24 -0700] "POST /login/login?user=asad&password=Gb14tXULQA&status=unauthorized HTTP/1.1" 401 17632 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
46.232.3.175 - noah_ladak [17/Dec/2025:17:49:26 -0700] "POST /login/login?user=noah_ladak&password=8xleNI0HNcox&status=unauthorized HTTP/1.1" 401 9517 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
93.230.35.186 - mahek_ramzan [17/Dec/2025:17:49:27 -0700] "POST /login/login?user=mahek_ramzan&password=yMWoQCOam8CK&status=unauthorized HTTP/1.1" 401 6301 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
209.11.236.220 - dubuque8754 [17/Dec/2025:17:49:19 -0700] "POST /target/generate HTTP/1.1" 203 50147 "https://www.chiefeyeballs.biz/monetize/magnetic" "Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/534.4.8 (KHTML, like Gecko) Version/4.2 Safari/534.4.8"
108.71.141.96 - lakin6051 [17/Dec/2025:17:49:19 -0700] "POST /iterate/action-items HTTP/2.0" 301 89834 "http://www.forwardkiller.com/distributed/interfaces/sticky/rich" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_3_1 like Mac OS X; en-US) AppleWebKit/536.50.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B113 Safari/6536.50.6"
5.229.166.192 - ali_dharani [17/Dec/2025:17:49:24 -0700] "POST /login/login?user=ali_dharani&password=4XgPepOpbCzC&status=unauthorized HTTP/1.1" 401 21924 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
230.54.181.69 - mahek_ramzan [17/Dec/2025:17:49:28 -0700] "POST /login/login?user=mahek_ramzan&password=Xj5vK0mGWZ&status=unauthorized HTTP/1.1" 401 7470 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
108.165.14.40 - - [17/Dec/2025:17:49:19 -0700] "HEAD /e-business/schemas/platforms HTTP/1.1" 416 18453 "https://www.districtefficient.net/schemas/mesh/communities/24/365" "Mozilla/5.0 (X11; Linux i686) AppleWebKit/5311 (KHTML, like Gecko) Chrome/40.0.887.0 Mobile Safari/5311"
93.129.178.56 - lind1722 [17/Dec/2025:17:49:19 -0700] "PUT /functionalities HTTP/1.1" 404 25600 "https://www.seniorengineer.com/proactive/open-source/holistic" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4 rv:5.0) Gecko/2008-04-10 Firefox/35.0"
35.154.145.214 - - [17/Dec/2025:17:49:19 -0700] "HEAD /global/extend/streamline HTTP/2.0" 203 26064 "https://www.futureproductize.com/functionalities/extend/e-tailers/reintermediate" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/5341 (KHTML, like Gecko) Chrome/39.0.803.0 Mobile Safari/5341"
54.199.120.216 - shezan [17/Dec/2025:17:49:21 -0700] "POST /login/login?user=shezan&password=hVuYbjSLQa&status=unauthorized HTTP/1.1" 401 11910 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
153.61.112.146 - labadie7075 [17/Dec/2025:17:49:19 -0700] "HEAD /deliver/portals/24%2f7/vertical HTTP/1.1" 406 49259 "https://www.futuremindshare.com/integrate/optimize" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5322 (KHTML, like Gecko) Chrome/36.0.801.0 Mobile Safari/5322"
162.164.30.230 - hermiston4762 [17/Dec/2025:17:49:19 -0700] "PUT /methodologies/visualize/action-items/e-business HTTP/2.0" 504 9672 "https://www.corporateenvisioneer.io/end-to-end/e-commerce/dot-com" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_0 rv:4.0) Gecko/1925-20-09 Firefox/35.0"
30.78.75.84 - - [17/Dec/2025:17:49:19 -0700] "DELETE /magnetic/web-readiness/next-generation/action-items HTTP/2.0" 405 54993 "https://www.leadvalue-added.org/b2b/leverage/schemas/relationships" "Mozilla/5.0 (Windows NT 6.1; en-US; rv:1.9.3.20) Gecko/2013-21-07 Firefox/36.0"
84.25.31.23 - rath6116 [17/Dec/2025:17:49:19 -0700] "DELETE /robust HTTP/2.0" 403 32038 "http://www.leadbest-of-breed.name/e-tailers/synergies/dot-com" "Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/534.2.3 (KHTML, like Gecko) Version/6.1 Safari/534.2.3"
17.130.27.61 - swaniawski4208 [17/Dec/2025:17:49:19 -0700] "POST /seamless/bandwidth HTTP/2.0" 416 13917 "https://www.forwardvirtual.name/magnetic/markets" "Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_0 rv:7.0) Gecko/1947-29-09 Firefox/35.0"
50.5.227.193 - hadi_ibrahimi [17/Dec/2025:17:49:20 -0700] "POST /login/login?user=hadi_ibrahimi&password=clTeumbre&status=unauthorized HTTP/1.1" 401 13090 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
228.105.52.220 - murad [17/Dec/2025:17:49:23 -0700] "POST /login/login?user=murad&password=yGq7VVVbQV&status=unauthorized HTTP/1.1" 401 6785 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
53.201.145.154 - - [17/Dec/2025:17:49:19 -0700] "DELETE /target/open-source/disintermediate HTTP/1.1" 200 13728 "https://www.centralrobust.info/initiatives/ubiquitous/engage/cutting-edge" "Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_5 rv:5.0) Gecko/1961-19-08 Firefox/37.0"
108.42.104.48 - arshad_somani [17/Dec/2025:17:49:24 -0700] "POST /login/login?user=arshad_somani&password=VMOG9frYmt2&status=unauthorized HTTP/1.1" 401 19601 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
26.151.81.127 - stokes7215 [17/Dec/2025:17:49:19 -0700] "PUT /portals/real-time/frictionless/productize HTTP/1.0" 500 99339 "http://www.directsupply-chains.com/users/vertical/plug-and-play/global" "Mozilla/5.0 (X11; Linux i686) AppleWebKit/5322 (KHTML, like Gecko) Chrome/39.0.871.0 Mobile Safari/5322"
145.211.242.22 - hadi_ibrahimi [17/Dec/2025:17:49:21 -0700] "POST /login/login?user=hadi_ibrahimi&password=Dy9fetRWZOYn&status=unauthorized HTTP/1.1" 401 6002 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
168.114.255.136 - - [17/Dec/2025:17:49:19 -0700] "DELETE /sticky HTTP/2.0" 404 39882 "http://www.legacye-business.org/b2c/drive/24/365/ubiquitous" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_8 rv:7.0; en-US) AppleWebKit/536.47.8 (KHTML, like Gecko) Version/4.0 Safari/536.47.8"
